,imdb_id,original_title,overview,poster_path,release_date,_id
0,tt0114709,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995-10-30,0
1,tt0113497,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,1
2,tt0113228,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,1995-12-22,2
3,tt0114885,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995-12-22,3
4,tt0113041,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995-02-10,4
5,tt0113277,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,5
6,tt0114319,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995-12-15,6
7,tt0112302,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,1995-12-22,7
8,tt0114576,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995-12-22,8
9,tt0113189,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,9
10,tt0112346,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995-11-17,10
11,tt0112896,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995-12-22,11
12,tt0112453,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,1995-12-22,12
13,tt0113987,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995-12-22,13
14,tt0112760,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995-12-22,14
15,tt0112641,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,15
16,tt0114388,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995-12-13,16
